Name;URL;Author;Price;Number of Ratings;Average Rating
            Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi        ;www.amazon.in/Keepers-Kalachakra-latest-thriller-bestselling/dp/9386850648?_encoding=UTF8&psc=1;Ashwin Sanghi;   208.00;201;4.2 out of 5 stars
            Don't Lose Your Mind, Lose Your Weight        ;www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1;Rujuta Diwekar;   130.00;820;4.5 out of 5 stars
            Inner Engineering: A Yogi’s Guide to Joy        ;www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1;Sadhguru;   173.00;832;4.7 out of 5 stars
            Attitude Is Everything: Change Your Attitude ... Change Your Life!        ;www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1;Jeff Keller;   121.00;217;4.5 out of 5 stars
            The Power of Habit: Why We Do What We Do, and How to Change        ;www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1;Charles Duhigg;   224.00;400;4.4 out of 5 stars
            Mathematics for Class - 7  - 756        ;www.amazon.in/Mathematics-Class-7-756-NCERT/dp/8174506691?_encoding=UTF8&psc=1;Not available;   55.00;24;4.2 out of 5 stars
            High School English Grammar and Composition Book (Regular Edition)        ;www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;Not available;   285.00;662;4.3 out of 5 stars
            39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Physics        ;www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Physics/dp/9311128740?_encoding=UTF8&psc=1;DC Pandey;   249.00;78;4.2 out of 5 stars
            Concepts of Physics 1        ;www.amazon.in/Concepts-Physics-1-H-C-Verma/dp/8177091875?_encoding=UTF8&psc=1;H.C. Verma;   291.00;640;4.6 out of 5 stars
            English Course Communicative: Literature Reader - Class 10        ;www.amazon.in/English-Course-Communicative-Literature-Reader/dp/B00KILPUNS?_encoding=UTF8&psc=1;Not available;Not available;53;3.4 out of 5 stars
            The Fault in our Stars        ;www.amazon.in/Fault-our-Stars-John-Green/dp/0141345659?_encoding=UTF8&psc=1;John Green;   270.00;1,376;4.4 out of 5 stars
            Beehive  for Class - 9 - 959        ;www.amazon.in/Beehive-for-Class-9-959/dp/8174505024?_encoding=UTF8&psc=1;Not available;Not available;1;4.0 out of 5 stars
            39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics        ;www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Mathematics/dp/9311128767?_encoding=UTF8&psc=1;Amit M Agarwal;   249.00;76;4.3 out of 5 stars
            Science Textbook for Class 10- 1064        ;www.amazon.in/Science-Textbook-Class-10-1064/dp/8174506365?_encoding=UTF8&psc=1;Not available;   165.00;50;3.2 out of 5 stars
            Objective General English        ;www.amazon.in/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1;S.P. Bakshi;   188.00;1,415;4.2 out of 5 stars
            23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017)        ;www.amazon.in/General-Studies-Prelims-Topic-wise-1995-2017/dp/9386629283?_encoding=UTF8&psc=1;Disha Experts;   246.00;143;4.0 out of 5 stars
            Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear        ;www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1;Lakhmir Singh;   1,122.00;14;3.7 out of 5 stars
            Certificate Physical and Human Geography        ;www.amazon.in/Certificate-Physical-Human-Geography-Cheng/dp/0195628160?_encoding=UTF8&psc=1;Not available;   269.00;658;4.2 out of 5 stars
            The Secret Of The Nagas (Shiva Trilogy-2)        ;www.amazon.in/Secret-Nagas-Shiva-Trilogy-2/dp/9381626340?_encoding=UTF8&psc=1;Amish Tripathi;   150.00;1,481;4.6 out of 5 stars
            Pralay: The Great Deluge (Harappa)        ;www.amazon.in/Pralay-Deluge-Harappa-Vineet-Bajpai/dp/8193642406?_encoding=UTF8&psc=1;Vineet Bajpai;   162.00;162;4.2 out of 5 stars
            Handbook of Chemistry        ;www.amazon.in/Handbook-Chemistry-R-P-Singh/dp/9352036042?_encoding=UTF8&psc=1;Not available;   138.00;236;4.3 out of 5 stars
            Objective NCERT at your Fingertips - Biology        ;www.amazon.in/Objective-NCERT-your-Fingertips-Biology/dp/938656193X?_encoding=UTF8&psc=1;Not available;   600.00;180;4.7 out of 5 stars
            Man's Search for Meaning        ;www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1;Viktor E Frankl;   225.00;461;4.2 out of 5 stars
            The Oath of the Vayuputras (Shiva Trilogy)        ;www.amazon.in/Oath-Vayuputras-Shiva-Trilogy/dp/9382618341?_encoding=UTF8&psc=1;Amish Tripathi;   256.00;1,412;4.4 out of 5 stars
            Harappa - Curse of the Blood River        ;www.amazon.in/Harappa-Curse-Blood-Vineet-Bajpai/dp/9352685482?_encoding=UTF8&psc=1;Vineet Bajpai;   130.00;494;4.1 out of 5 stars
            Handbook of Physics        ;www.amazon.in/Handbook-Physics-Nipendra-Bhatnagar/dp/9352036034?_encoding=UTF8&psc=1;Not available;   109.00;293;4.4 out of 5 stars
            Pregnancy Notes: Before, During & After        ;www.amazon.in/Pregnancy-Notes-Before-During-After/dp/9386224895?_encoding=UTF8&psc=1;Rujuta Diwekar;   112.00;142;3.9 out of 5 stars
            CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude        ;www.amazon.in/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1;KVS Madaan;   337.00;177;4.3 out of 5 stars
